County,Joseph R. Biden and Kamala D. Harris ,Donald J. Trump and Michael R. Pence ,Jo Jorgensen and Jeremy Cohen 
Adams,4213,10085,304
Antelope,452,3093,38
Arthur,21,260,3
Banner,43,362,5
Blaine,35,280,2
Boone,499,2653,65
Box Butte,1051,4002,128
Boyd,135,1010,8
Brown,190,1468,18
Buffalo,6292,16473,590
Burt,1061,2560,88
Butler,869,3526,83
Cass,4737,10121,426
Cedar,725,4174,97
Chase,226,1740,27
Cherry,373,2844,48
Cheyenne,855,3813,97
Clay,632,2848,78
Colfax,1025,2636,56
Cuming,862,3476,74
Custer,768,4996,113
Dakota,2744,3926,124
Dawes,1076,2919,107
Dawson,2497,6524,157
Deuel,141,871,20
Dixon,651,2335,97
Dodge,5526,10963,346
Douglas,146433,116696,5288
Dundy,105,883,11
Fillmore,693,2359,82
Franklin,276,1434,11
Frontier,189,1229,22
Furnas,399,2163,39
Gage,3385,7445,238
Garden,161,1016,18
Garfield,133,925,9
Gosper,215,893,10
Grant,20,375,7
Greeley,229,1016,13
Hall,7551,15950,498
Hamilton,1117,4297,106
Harlan,282,1615,31
Hayes,34,492,6
Hitchcock,174,1260,30
Holt,683,4766,82
Hooker,59,376,7
Howard,648,2786,67
Jefferson,1009,2593,84
Johnson,646,1517,64
Kearney,699,2812,80
Keith,763,3544,57
Keya Paha,49,476,4
Kimball,267,1553,40
Knox,903,3719,71
Lancaster,80513,68321,3566
Lincoln,3692,13071,344
Logan,38,407,5
Loup,75,370,9
Madison,3393,11678,336
McPherson,17,275,10
Merrick,740,3407,95
Morrill,386,2113,58
Nance,359,1437,32
Nemaha,921,2428,74
Nuckolls,409,1850,37
Otoe,2481,5609,176
Pawnee,322,1071,36
Perkins,199,1321,24
Phelps,752,4157,100
Pierce,480,3462,64
Platte,3208,11827,221
Polk,527,2286,57
Red Willow,811,4525,116
Richardson,981,2981,56
Rock,84,744,13
Saline,1737,3458,141
Sarpy,40020,49796,2410
Saunders,3318,9036,292
Scotts Bluff,4133,10810,316
Seward,2438,6490,214
Sheridan,340,2292,40
Sherman,341,1306,33
Sioux,72,642,15
Stanton,532,2561,68
Thayer,619,2285,47
Thomas,45,377,5
Thurston,1107,1164,23
Valley,410,1892,27
Washington,3554,8583,276
Wayne,1022,3055,123
Webster,335,1511,30
Wheeler,59,438,5
York,1619,5296,174
